Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.097675	3.532000	5.914000	14.563000	3.412000	9.800000	15.883000	
1.000000	0.090928	3.383000	6.642000	17.012000	3.486000	6.050000	9.806000	
2.000000	0.080420	3.384000	5.927000	15.173000	3.391000	7.650000	12.399000	
3.000000	0.067178	3.341000	6.906000	17.368000	3.324000	7.650000	12.399000	
4.000000	0.052500	3.296000	7.530000	18.974000	3.188000	12.600000	20.421000	
5.000000	0.037822	3.254000	8.364000	20.508000	3.105000	13.075000	21.191000	
6.000000	0.024580	3.214000	9.107000	22.419000	3.070000	13.375000	21.191000	
7.000000	0.014072	3.162000	10.029000	24.827000	2.968000	18.250000	29.254000	
8.000000	0.007325	3.091000	11.358000	27.185000	2.893000	18.700000	29.822000	
9.000000	0.005000	3.038000	12.576000	28.953000	2.810000	22.841000	35.656000	
